Gene	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CR-01A-11R-A38N-13	TCGA-FF-A7CW-01A-11R-A38N-13	TCGA-FF-A7CX-01A-12R-A38N-13	TCGA-FM-8000-01A-11R-2212-13	TCGA-G8-6324-01A-11R-2212-13	TCGA-G8-6325-01A-11R-2212-13	TCGA-G8-6326-01A-11R-2212-13	TCGA-G8-6906-01A-11R-2212-13	TCGA-G8-6907-01A-11R-2212-13	TCGA-G8-6909-01A-11R-2212-13	TCGA-G8-6914-01A-11R-2212-13	TCGA-GR-7353-01A-11R-2212-13	TCGA-GR-A4D4-01A-11R-A31S-13	TCGA-GR-A4D5-01A-11R-A31S-13	TCGA-GR-A4D6-01A-11R-A31S-13	TCGA-GR-A4D9-01B-11R-A31S-13	TCGA-GS-A9TQ-01A-11R-A38N-13	TCGA-GS-A9TT-01A-11R-A38N-13	TCGA-GS-A9TU-01A-11R-A38N-13	TCGA-GS-A9TV-01A-11R-A38N-13	TCGA-GS-A9TW-01A-11R-A38N-13	TCGA-GS-A9TX-01A-11R-A38N-13	TCGA-GS-A9TY-01A-11R-A39J-13	TCGA-GS-A9TZ-01A-11R-A39J-13	TCGA-GS-A9U3-01A-11R-A39J-13	TCGA-GS-A9U4-01A-11R-A39J-13	TCGA-RQ-A68N-01A-11R-A31S-13	TCGA-RQ-A6JB-01A-11R-A31S-13	TCGA-RQ-AAAT-01A-11R-A39J-13	TCGA-VB-A8QN-01A-11R-A38N-13
hsa-miR-3675-3p|MIMAT0018099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3677-3p|MIMAT0018101	26	5	7	9	1	21	51	18	19	25	14	47	24	15	47	19	13	19	8	9	10	18	50	11	56	19	34	5	59	77	9	9	11	19	4	10	3	11	10	4	8	5	21	14	14	6	15
hsa-miR-3678-5p|MIMAT0018102	20	9	6	13	8	9	8	14	16	18	16	7	3	11	33	12	NA	1	3	61	22	12	54	4	20	16	3	1	28	45	5	3	14	11	13	9	1	4	11	6	4	3	1	3	14	8	16
hsa-miR-3678-3p|MIMAT0018103	3	NA	3	6	1	5	1	7	4	5	2	1	1	2	10	4	NA	3	3	19	6	NA	12	1	8	4	2	3	8	5	1	1	2	1	3	3	NA	NA	4	6	2	1	1	1	6	4	4
hsa-miR-3679-5p|MIMAT0018104	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	1
hsa-miR-3679-3p|MIMAT0018105	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3680-5p|MIMAT0018106	NA	1	NA	NA	NA	1	3	1	1	5	2	2	NA	NA	NA	NA	3	1	NA	3	1	NA	1	4	1	2	1	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	3	NA	NA	NA	NA	NA	4	NA	1
hsa-miR-3680-3p|MIMAT0018107	1	3	2	5	NA	4	11	7	3	25	NA	8	4	NA	3	1	1	5	1	6	2	1	4	9	4	6	6	NA	3	5	1	5	2	3	2	3	1	4	5	1	3	1	1	3	5	2	3
hsa-miR-3681-5p|MIMAT0018108	59	NA	NA	1	23	4	41	NA	13	1000	1	170	2	24	61	245	48	1	5	10	742	47	26	84	63	68	118	2	113	28	1	29	10	6	41	10	5	142	52	340	46	NA	22	1	72	3	31
hsa-miR-3681-3p|MIMAT0018109	1	NA	NA	NA	NA	NA	2	NA	NA	15	NA	3	NA	NA	2	5	1	NA	NA	NA	6	2	NA	5	NA	1	1	NA	3	NA	NA	NA	NA	NA	2	NA	NA	2	1	NA	NA	NA	NA	NA	2	NA	4
hsa-miR-3682-3p|MIMAT0018110	4	4	3	4	1	9	15	6	8	6	2	5	7	3	7	7	NA	7	5	11	4	1	6	15	3	7	16	6	5	3	7	1	NA	6	3	7	3	NA	7	1	5	1	7	3	3	1	3
hsa-miR-3683|MIMAT0018111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3684|MIMAT0018112	NA	1	1	2	NA	9	5	2	2	6	1	2	NA	1	3	7	NA	3	NA	2	1	1	4	1	NA	NA	NA	4	3	2	1	NA	NA	4	1	3	2	1	NA	1	NA	1	NA	NA	NA	3	2
hsa-miR-3685|MIMAT0018113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3686|MIMAT0018114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3687|MIMAT0018115	7	1	10	5	1	102	17	45	2	2	89	19	20	2	9	9	1	2	2	27	4	6	19	10	17	37	7	4	10	17	2	3	5	20	18	24	3	22	14	4	NA	11	21	4	3	1	NA
hsa-miR-3688-3p|MIMAT0018116	NA	NA	1	1	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	1	2	NA	1	NA	1	1	1	NA	2	NA	NA	1	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	1	1	NA	NA	1	1
hsa-miR-3689a-5p|MIMAT0018117	NA	1	10	NA	NA	2	205	NA	4	1	NA	NA	NA	NA	NA	NA	83	NA	1	NA	NA	NA	NA	NA	NA	1	3	NA	NA	6	4	NA	9	NA	NA	NA	41	NA	NA	NA	NA	NA	NA	NA	NA	3	6
hsa-miR-3689a-3p|MIMAT0018118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3690|MIMAT0018119	10	7	10	8	4	1	11	10	10	57	3	29	14	5	14	31	NA	7	4	17	2	9	80	6	19	3	2	12	3	31	6	2	2	NA	13	101	9	4	30	7	10	28	13	16	4	3	10
hsa-miR-3691-5p|MIMAT0018120	2	2	2	2	NA	6	8	11	5	4	NA	7	4	2	1	4	9	10	2	3	6	2	5	10	7	10	8	1	4	7	5	3	NA	5	2	7	1	6	9	2	1	2	3	3	5	3	2
hsa-miR-3692-5p|MIMAT0018121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3692-3p|MIMAT0018122	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	1	NA	1	1	NA	1	1	NA	NA	NA	NA	NA	1	NA
hsa-miR-3713|MIMAT0018164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3714|MIMAT0018165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3180|MIMAT0018178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3907|MIMAT0018179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3689b-5p|MIMAT0018180	NA	2	10	NA	NA	4	230	1	4	2	NA	NA	NA	NA	1	NA	91	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	15	6	NA	9	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	4	10
hsa-miR-3689b-3p|MIMAT0018181	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-3908|MIMAT0018182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3909|MIMAT0018183	NA	3	NA	2	1	NA	3	2	1	5	6	NA	NA	1	2	1	1	9	3	3	NA	6	6	21	3	3	1	1	3	3	2	1	NA	2	3	2	2	1	2	4	3	2	1	NA	2	1	1
hsa-miR-3910|MIMAT0018184	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA
hsa-miR-3911|MIMAT0018185	NA	NA	NA	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	1	NA	NA
hsa-miR-3912-3p|MIMAT0018186	1	3	2	2	5	7	4	13	3	5	1	10	NA	4	6	7	2	11	3	10	3	4	4	14	2	2	NA	2	1	2	7	5	NA	1	8	9	4	NA	12	1	1	3	1	1	2	NA	2
hsa-miR-3913-5p|MIMAT0018187	10	6	6	5	2	6	29	39	10	17	15	56	6	7	14	15	1	10	7	46	7	6	3	17	11	14	3	5	21	18	14	5	3	3	19	19	3	1	13	5	3	8	7	5	13	9	15
hsa-miR-3914|MIMAT0018188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3915|MIMAT0018189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3916|MIMAT0018190	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-3917|MIMAT0018191	15	2	2	13	5	26	13	6	14	36	43	49	27	5	19	14	8	32	17	56	17	22	9	2	13	28	14	10	14	20	12	29	4	11	10	26	13	5	25	6	4	3	3	NA	6	9	11
hsa-miR-3918|MIMAT0018192	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3919|MIMAT0018193	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3150b-3p|MIMAT0018194	14	16	12	2	3	7	192	19	38	313	131	1776	48	28	132	91	4	2	2	27	296	1	29	9	432	810	291	19	536	453	32	73	3	57	12	1	16	38	205	4	10	3	12	5	64	28	17
hsa-miR-3920|MIMAT0018195	NA	NA	NA	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2
hsa-miR-3921|MIMAT0018196	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3922-3p|MIMAT0018197	24	8	5	11	9	14	12	23	19	27	9	12	2	7	12	15	4	25	5	5	1	8	22	71	19	7	11	12	5	8	8	5	2	7	5	22	11	6	16	2	9	10	7	7	2	1	10
hsa-miR-3923|MIMAT0018198	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
hsa-miR-3924|MIMAT0018199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3925-5p|MIMAT0018200	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
hsa-miR-3926|MIMAT0018201	NA	NA	NA	1	NA	NA	4	3	NA	NA	NA	NA	NA	NA	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
hsa-miR-3927-3p|MIMAT0018202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-676-5p|MIMAT0018203	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-676-3p|MIMAT0018204	1	NA	NA	4	1	1	NA	1	2	1	1	1	1	NA	NA	4	NA	1	NA	6	NA	1	5	4	NA	NA	NA	1	NA	NA	3	7	NA	NA	NA	2	1	1	2	NA	NA	1	2	NA	1	3	1
hsa-miR-3928-3p|MIMAT0018205	11	8	7	9	6	17	6	22	17	15	4	12	3	20	13	9	6	35	5	14	20	7	34	11	6	16	18	9	15	8	6	5	2	21	11	13	7	8	23	11	6	14	10	2	6	3	5
hsa-miR-3929|MIMAT0018206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3934-5p|MIMAT0018349	10	2	NA	7	1	12	28	18	6	5	3	5	2	3	3	5	7	26	2	3	NA	5	3	7	11	11	2	8	33	14	5	8	8	8	6	15	11	8	24	4	3	4	2	1	3	12	17
hsa-miR-3935|MIMAT0018350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3936|MIMAT0018351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3937|MIMAT0018352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3938|MIMAT0018353	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548y|MIMAT0018354	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	16	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3939|MIMAT0018355	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	3	1	1	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	2	1	NA	NA	NA	NA	4	NA	1
hsa-miR-3940-3p|MIMAT0018356	6	3	9	1	2	7	11	6	4	48	4	8	2	15	10	4	3	12	6	5	2	7	12	5	17	8	7	3	16	7	1	1	3	14	12	3	3	3	11	14	3	NA	3	2	5	10	13
hsa-miR-3941|MIMAT0018357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3942-5p|MIMAT0018358	NA	NA	NA	1	NA	16	3	5	2	3	3	NA	NA	NA	3	4	4	4	1	1	1	NA	2	2	3	2	4	NA	NA	1	1	NA	2	4	4	3	1	2	3	NA	2	NA	1	NA	NA	1	NA
hsa-miR-3943|MIMAT0018359	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	7	NA	NA	2	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA
hsa-miR-3944-3p|MIMAT0018360	NA	2	NA	2	NA	2	4	1	1	5	1	3	2	1	4	2	3	7	1	1	1	NA	1	NA	1	1	1	NA	NA	3	2	1	NA	1	NA	3	NA	2	6	1	1	2	NA	NA	NA	NA	1
hsa-miR-3945|MIMAT0018361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-374c-5p|MIMAT0018443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-642b-3p|MIMAT0018444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-550b-3p|MIMAT0018445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548z|MIMAT0018446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548aa|MIMAT0018447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-151b|MIMAT0010214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548ah-5p|MIMAT0018972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548ah-3p|MIMAT0020957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3156-3p|MIMAT0019209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1296-3p|MIMAT0026637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3157-3p|MIMAT0019210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-let-7c-3p|MIMAT0026472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-345-3p|MIMAT0022698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-4456|MIMAT0018978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1271-3p|MIMAT0022712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1301-5p|MIMAT0026639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-4459|MIMAT0018981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-4460|MIMAT0018982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3162-3p|MIMAT0019213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
